[2024-04-26 16:42:57.503425][INFO],sample=35,count=1
[2024-04-26 16:43:33.97448][INFO],sample=142,count=2
[2024-04-26 16:44:41.730687][INFO],sample=348,count=3
[2024-04-26 16:45:15.954201][INFO],sample=451,count=4
[2024-04-26 16:45:30.581526][INFO],sample=495,count=5
[2024-04-26 16:45:45.196142][INFO],sample=539,count=6
[2024-04-26 16:48:07.913467][INFO],sample=968,count=7
[2024-04-26 16:48:33.871784][INFO],sample=1046,count=8
[2024-04-26 16:49:21.752613][INFO],sample=1190,count=9
[2024-04-26 16:52:57.449915][INFO],sample=1834,count=10
[2024-04-26 16:54:16.283188][INFO],sample=2071,count=11
[2024-04-26 16:54:26.259412][INFO],sample=2101,count=12
[2024-04-26 16:54:46.889821][INFO],sample=2163,count=13
[2024-04-26 16:55:31.107754][INFO],sample=2296,count=14
[2024-04-26 16:56:54.296316][INFO],sample=2544,count=15
[2024-04-26 16:57:04.952124][INFO],sample=2576,count=16
[2024-04-26 16:57:12.935008][INFO],sample=2600,count=17
[2024-04-26 16:59:15.71045][INFO],sample=2967,count=18
[2024-04-26 16:59:25.45356][INFO],sample=2997,count=19
[2024-04-26 17:00:26.225368][INFO],sample=3181,count=20
[2024-04-26 17:01:25.70633][INFO],sample=3358,count=21
[2024-04-26 17:02:42.907724][INFO],sample=3592,count=22
[2024-04-26 17:03:57.770842][INFO],sample=3817,count=23
[2024-04-26 17:05:23.886497][INFO],sample=4076,count=24
[2024-04-26 17:06:46.24249][INFO],sample=4323,count=25
[2024-04-26 17:06:55.994922][INFO],sample=4353,count=26
