2024-03-07 16:33:29, 15.129576, 2024-03-07 16:33:29, -0.514310
2024-03-07 16:33:31, 14.859360, 2024-03-07 16:33:31, -0.592484
2024-03-07 16:33:32, 14.986738, 2024-03-07 16:33:32, -0.594252
2024-03-07 16:33:33, 15.024357, 2024-03-07 16:33:33, -0.792173
2024-03-07 16:33:34, 15.042457, 2024-03-07 16:33:34, -0.672340
2024-03-07 16:33:35, 15.136205, 2024-03-07 16:33:35, -0.710556
2024-03-07 16:33:36, 15.125244, 2024-03-07 16:33:36, -0.596428
2024-03-07 16:33:37, 15.006888, 2024-03-07 16:33:37, -0.714045
2024-03-07 16:33:38, 15.022078, 2024-03-07 16:33:38, -0.631952
2024-03-07 16:33:39, 14.945759, 2024-03-07 16:33:39, -0.632177
2024-03-07 16:33:40, 15.108953, 2024-03-07 16:33:40, -0.513626
